description,category,civic_issue
Water water only,Sewage,1
Pls clean garbage,Waste/Garbage,1
Rain rain rain e,Water,1
Repair and maintenance,Potholes,1
There is very dirty and yellowish water coming in my house in some taps . It is very difficult to use it.  Piped water supply is really very bad.,Sewage,1
It is garbage dumping on the road,Waste/Garbage,1
It is leakage ING the water,Water,1
Because of this too many accidents were happening. ,Potholes,1
Garbage and plastic are throwing on the road by public BBMP didn't even a small step to solve it because of this land pollution is more. They are not cleaning properly also ,Waste/Garbage,1
Garbage dump in an open space under a tree.,Waste/Garbage,1
Garbage dumpyard on the road.,Waste/Garbage,1
Big ???? is happed in the road because of it a lady met with an accident.. This problem is there from more than a year .,Potholes,1
Garbage dumped in an open place.,Waste/Garbage,1
"Since the road is damaged at the junction of west end street and Ganesh street, there has been frequent waterlogging there. Also it creates disturbance for vehicles. Hence I hope this gets solved.",Water,1
I found a broken pothole near the junction of Gopalapuram  1st street and 3rd street. It is present at the turning causing disturbance for vehicles. Hence I hope this problem gets solved.,Potholes,1
I found a large debris near garbage acting as a site for diseases at the junction of Lloyds road and Gopalapuram 1st street. It has also occupied the footpath. Hence I hope this problem gets solved.,Waste/Garbage,1
The road near DAV Boys School has been damaged and hence has caused waterlogging during rainy season. It has also created problems for vehicles. Hence I hope this gets solved.,Water,1
I had found a broken pothole in the west end street . It can cause problems for vehicles. Hence I hope this problem gets solved.,Potholes,1
Garbage  on road,Waste/Garbage,1
"We are those who pollute the river's 
We are those who create awareness on this",Waste/Garbage,1
Please reduce use of plastic bottles,Plastic,1
Reduce garbage,Waste/Garbage,1
"Garbage is have many in street
",Waste/Garbage,1
The pothole hasn't been fixed and it has been here for a long time,Potholes,1
The pothole in this place has been for a long time and still isn't fixed and ignored by others.,Potholes,1
Footpath not fit for walking.,Waste/Garbage,1
Bpac black spot,Waste/Garbage,1
There is lot of garbage ,Waste/Garbage,1
There is lot of garbage dumping on the road ,Waste/Garbage,1
This random area directly outside Brigade Metropolis has been used as a dumping ground by the locals.,Waste/Garbage,1
There is a big pothole outside Brigade Metropolis making it difficult for anyone to walk or for cars to drive easily.,Waste/Garbage,1
"The sidewalk in the general vicinity of 
garudacharpalya does not have well built sidewalk even though it has very common usage by the locals and residents of Brigade Metropolis. ",Waste/Garbage,1
"Reduce dump of garbage
",Waste/Garbage,1
Reduce use of plastic,Plastic,1
Jcudjejejdududuj to use the form of a bowl of the day of the day of the day of the day of the day of the day of the day of the government has taken the day of my photo Blog at 6 to save water save hum,Plastic,1
 Tuff then our portion of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day of the day o,Waste/Garbage,1
RR did x duxxjdjsu,Waste/Garbage,1
R madhava warrier the day and ammu k liye to bahut he is not to burn the fat and not a problem with water and not the day before yesterday at 9 graders the government to mak the government of the card,Waste/Garbage,1
Fufufu the day of the day of the day and not a bowl and ammu k liye the form below to delete this message and ammu ke sath hai to wo the government to mak rules and ammu r you back the day and nightAM,Waste/Garbage,1
"The garbage collecter are not coming regularly, so the shopkeepers are dumping the waste on roads ,which is causing faul smell, kindly check the schedule of garbage collecter, collecting the garbage.",Waste/Garbage,1
Keep your surroundings clean,Waste/Garbage,1
Single use plastic,Plastic,1
Gdegkbri cf,Plastic,1
"Reduce the garbage
",Waste/Garbage,1
Please clear the garbage,Waste/Garbage,1
Never cleared on time,Waste/Garbage,1
Not cleaned on time ,Waste/Garbage,1
Reduce garbage,Waste/Garbage,1
"Reduce the use of plastic bags and covers
",Plastic,1
Close the taps after using water,Water,1
Hkotcnkhjiychkijfv,Waste/Garbage,1
Jgffhjhgvj ok,Waste/Garbage,1
"It is a plastic itams is there and somach smell is come so
",Plastic,1
Opposite to my house there  is  a vacant place which looks like forest and many mosquitos are produced there .my request is to clean that vacant place,Waste/Garbage,1
"Garbage is not cleared 
????",Waste/Garbage,1
"In the china water was pollution by this 
",Waste/Garbage,1
Plastic garbage ,Waste/Garbage,1
"Throwing of mixed waste in plastic bags; apparently there the waste collection happens at 11 am, is improper time for its collection. ",Waste/Garbage,1
There is a pot hole on the road ,Potholes,1
"Plastic garbage
",Waste/Garbage,1
Make it madatory to repair streetlights regularly,Streetlights,1
"Water waste
",Waste/Garbage,1
Potholes  on road ,Potholes,1
Parking ,Traffic/Parking,1
"Garbage 
",Waste/Garbage,1
Potholes ,Potholes,1
Water leaching ,Water,1
There is a very water leakage in a tank,Water,1
Not cleared ,Waste/Garbage,1
"Wet garbage
",Waste/Garbage,1
Stop water leaking,Water,1
Never cleaned ,Waste/Garbage,1
Main reason for traffic jam,Traffic/Parking,1
Is a bus stand and  not parking area and this way of autos parking makes it difficult to the buses to stop n also casus traffic jam ,Traffic/Parking,1
Potholes ,Potholes,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Near garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Near h k p store ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
"In this place many mosquitoes  are coming and many  insects 
",Waste/Garbage,1
In this place many mosquitoes  are coming  and many  insects ,Waste/Garbage,1
"There is a huge garbage dump that extends 5 meters.
",Waste/Garbage,1
There is an open drain that has a lot of garbage in it.,Waste/Garbage,1
"Opposite if my home there is a vacant land plants and trees are grown but some people have throwing the garbage waste there 
",Waste/Garbage,1
The pothole in this place is very severe and it hasn't been fixed and the pothole is so bumpy.,Potholes,1
"There is a lot of waste dumped every time in vacant land
",Waste/Garbage,1
All are dumped on the ground. ????????,Waste/Garbage,1
Garbage is no taken from hear,Waste/Garbage,1
"Due dumping of many garbages, it will effecting us for many diesies. ",Waste/Garbage,1
Make it mandatory to clean garbage regularly,Waste/Garbage,1
Lkkoougvjufgj,Waste/Garbage,1
Overflowing garbage bin with garbage spilling over. Not cleared for more than a day ,Waste/Garbage,1
Cattle menace leaving unhealthy study environment for underprivileged children in MOP Vaishnav School,Waste/Garbage,1
"Water logging of roads and footpaths, sewage .  so this causes of mosquito and this causes some diseases by sewage smell , so I request to clean this soon",Water,1
wait Garbage,Waste/Garbage,1
"
wet garbage",Waste/Garbage,1
Excessive dumping of garbage. Causing very bad smell in the road. This has also lead to the growth of mosquitoes. Requesting to solve this problem.,Waste/Garbage,1
Rood is damage ,Potholes,1
Garbage is regularly being disposed on the vacant roads near Balamuri Ganesha Temple. No arrangement to clear the waste. There is also no awareness spread about this matter whatsoever.,Waste/Garbage,1
"The road is not made properly which leads to holes which get bigger and bigger day by day when heavy vehicles move on it,which leads to accidents on the road",Potholes,1
"In the temple, they dumped many garbages
",Waste/Garbage,1
Repair potholes,Potholes,1
In this area many mosquitoes are coming and many insects ,Waste/Garbage,1
My hand shower has been leaking for one hour and it has spent almost 20l of water. ,Water,1
Kjytrfhocjogb,Waste/Garbage,1
Jkfgohjofvk,Waste/Garbage,1
"Kopojhhhhgbkufc
",Plastic,1
Kpoohyggujlpigbl,Waste/Garbage,1
There are potholes on the corner of this street which causes a ruckus. ,Potholes,1
Telephone and television cables are dangling from buildings ,Streetlights,1
 Dry and  wet garbage near home  masquito problem,Waste/Garbage,1
"Plastic garbage
",Waste/Garbage,1
It's actually near food stalls. . Creating a lot of problems,Waste/Garbage,1
There is water leakage ,Water,1
There is a lot of garbage ,Waste/Garbage,1
Pota hole,Waste/Garbage,1
Garbage,Waste/Garbage,1
Day and not to be there at night and ammu ke liye the government has akshi class of the day before the day and night 10 to be there to see the day before yesterday at 9 am not sure if you have any one,Waste/Garbage,1
Er majhe or barth the day of these are u doing these days and ammu ke liye the government has akshi class of the day of the day of the day of the day of the day of the day of the day of the year again,Potholes,1
Since there are no street lights here it is difficult to walk and because of these cable wires people might trip and fall.,Streetlights,1
Garbage dumped by residents living around the area ,Waste/Garbage,1
Horrible footpaths which are always flooded with water.,Water,1
Some people want to park the vehicle or car in front of the gate or where there is space in the footpath they park it and go they will not see only . What is the solution for this??,Traffic/Parking,1
GARBAGE DISPOSAL I IMPROPER AND NO BODY IS COLLECTING THE GARBAGE .,Waste/Garbage,1
"Wrong PARKING IS DONE ON OUR ROAD .
NO PLACE TO WALK IN OUR ROAD 
IN ONE FOOTPATH 3 TO 4 VEHICLES ARE PARKED 
WHERE SHOULD WE WALK?

",Traffic/Parking,1
"Dumpling Garbage
",Waste/Garbage,1
The roadside bin near my house has not been cleaned for two days ,Waste/Garbage,1
In this place many mosquitoes are coming and insects are also coming ,Waste/Garbage,1
Collecting of garbage regularly,Waste/Garbage,1
"They put garbage near the roadsides or near home.
For this what is the solution??",Waste/Garbage,1
Garbage,Waste/Garbage,1
Garbage,Waste/Garbage,1
BLACK spotg,Waste/Garbage,1
Dd bolechilo tai the government to use it for short periods and ammu ke baad mall and ammu r reader of titas to be the government of India Today the day of school timeing the day of,Waste/Garbage,1
E ki korbo bujte na the government has akshi class and ammu ke liye the government has akshi the day of the day of the day of the day of the day of the day of the day of the day of the day of the day ,Waste/Garbage,1
"Right on the pavement, besides construction equipment.",Waste/Garbage,1
Due to this dumping of garbage it leads to more dieses,Waste/Garbage,1
"The street gets very dark by evening-night itself. There are no streetlights, expecting the installation of one ",Streetlights,1
"Don't  use  plastic  toothbrush 
",Plastic,1
"No proper garbage system
Smells nasty


",Waste/Garbage,1
Blocked drinages ,Sewage,1
Footpath are meant for people to walk but is blocked as people set up shops n that blocks the way out to walk ,Traffic/Parking,1
This blocks the road and then leads to traffic jam ,Traffic/Parking,1
With this garbage there don't drive a car's. Some people are cleaning for 2 of 3 days once. Because ther is no camera so people are throwing again and again garbage. I request I to prowaid a camera,Waste/Garbage,1
"In this way many people are going to jobs, schools , college etc
",Waste/Garbage,1
Take respective actions,Waste/Garbage,1
Not closed for long time ,Potholes,1
"Streetlights not turned on till 9(particularly)
",Streetlights,1
Low voltage in my house.its happening often.our authority is not working properly.please check government,Streetlights,1
"This case already reported but no 
Action has been taken ",Waste/Garbage,1
Large amount of garbage in streets so that animals feeds And lot of disease is infected From person to person and become a permanent disease which leads to starvation ,Waste/Garbage,1
Pens are used and threw in the Dustin.,Plastic,1
Never corrected till date ,Streetlights,1
Ssssssgkjsjvekvrhm,Plastic,1
Garbage being burnt,Air,1
Open drainage. When it rains it comes on top road and stinks badly,Sewage,1
Place became dirty because of garbage truck. ,Waste/Garbage,1
Open dump in College campus,Waste/Garbage,1
Reduce garbage ,Waste/Garbage,1
"Reduce  water lineage 
",Water,1
"Please  separate  the  garbage 
",Waste/Garbage,1
Don't  use plastic bags,Plastic,1
"Reduce  garbage 
",Waste/Garbage,1
"Don't  use plastic 
",Plastic,1
"Due to acute water shortage, we are supposed to use buckets to fill water for later uses",Water,1
"Don't  use plastic 
",Plastic,1
Reduce  plastic ,Plastic,1
"Reduce  plastic  jugs 
",Plastic,1
The automobiles like 2 wheelers and 4 wheelers are not parked in an arranged manner. Most of the 2 wheelers are parked on the road which creatures disturbances for citizens to walk. ,Traffic/Parking,1
"Reduce  plastic 
",Plastic,1
Accumulated plastic waste,Waste/Garbage,1
"Don't  use plastic  toothbrush 
",Plastic,1
"Reduce  plastic paper 
",Plastic,1
"Don't use plastic  bottles 
",Plastic,1
Nhlhcbffjfcb,Waste/Garbage,1
Hpugktjoto just jau,Waste/Garbage,1
Kkjcgrxhur I e,Plastic,1
I ktshitfghh7,Water,1
Joiuyyooutrrtytdgu,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Potholes ,Potholes,1
"
Water leakage ",Water,1
Potholes ,Potholes,1
Please take action on this matter. ,Water,1
"Mosquitoes breeding. May cause dengue, malaria and other seasonal flu.Produces foul smell. Blocking space therefore pedestrians and other transportations  face difficulty.",Waste/Garbage,1
Logggkieskecj,Plastic,1
Rubbish on road side ,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
The garbage has been dumped and no action has been taken for the clearance causes bad odour,Waste/Garbage,1
Road side garbage ,Waste/Garbage,1
Don't  use plastic  bag ,Plastic,1
A 2 minute shower and this was the result. ,Water,1
"This was newly put but is not at all working, for weeks, pls fix it
",Streetlights,1
In this place many waste are there ,Waste/Garbage,1
In this place many waste are there ,Waste/Garbage,1
Water is getting wasted.If we continue like this then by 2050 we will outrun water.so don’t waste water.,Water,1
"Don't use plastic
",Plastic,1
"Don't use plastic
",Plastic,1
"Don't use plastic
",Plastic,1
Overflowing drainage water. ,Water,1
"Reduce garbage

",Waste/Garbage,1
Alot of garbage dumped on the footpath,Waste/Garbage,1
H like teg price l other,Waste/Garbage,1
Jooutteyicbosgku,Waste/Garbage,1
Eruogtohetifyctb,Waste/Garbage,1
Dtukmjhfxgb,Plastic,1
Qrfhdgweeff,Waste/Garbage,1
Garbage is dumping,Waste/Garbage,1
"The sewage manholes are leaking, causing a mess in the already narrow street. The water is coming out and giving a stench to the area and slushing up the area.",Potholes,1
Want to clear the garbage in this place,Waste/Garbage,1
More air pollution due to heavy vehicles,Air,1
This may lead to death,Potholes,1
Water is logging on road . Difficult for vehicles to move . ,Water,1
Many waste are there in this place ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
Garbage ,Waste/Garbage,1
There is deforestation near our area,Waste/Garbage,1
They are putting all the waste and cutting the grown there,Waste/Garbage,1
"Water logging areas
",Water,1
Garbage dumping,Waste/Garbage,1
Pkjeajihbmk,Waste/Garbage,1
Garbage dump ,Waste/Garbage,1
Garbage dump at banashankari ,Waste/Garbage,1
Burning of garbage,Air,1
The road is so uneven. And even a 2 minute shower can make things ugly.,Potholes,1
This dump has been there ever since I've seen this apartment. Worst part is that it is right outside a huge Apartment which has a lot of kids playing downstairs. Such dumps can cause serious illnesses,Waste/Garbage,1
"Since it is outside a residential property, it needs regular clearing. But I've seldom seen a garbage truck come clear it properly.",Waste/Garbage,1
"Some unfinished construction work has been going on since years now. And all the unused bricks, blocks of cement, are piled up outside on the road.",Waste/Garbage,1
Thief person + parking bike in wrong placee,Traffic/Parking,1
"More amount of water is wasted 
",Water,1
The water which is collected on the roads after raining gets more dirty by the garbage thrown in it. Garbage is thrown in the dry road  after the rain when it fills the roads it also carries away them,Waste/Garbage,1
Garbage strewn opposite to primary school for poor and underprivileged MOP Viashnav School,Waste/Garbage,1
"Garbage and cattle menace resulting in difficulty for old and children and public forced to use road as pavement are cattle tied
",Waste/Garbage,1
"Looks like water conservation but more like plastic on the road
????‍♂",Waste/Garbage,1
"Water leakage from sky
(Report partner: Assistant alumini - Sreemaan palani prabakaran) 
 ☮ ✌",Water,1
Street lamp post light not in working condition this poses a threat to public safety request you to do the need full to avoid inconvenience.,Streetlights,1
There is a lot of wires dangling which may cause shocks during rain times,Streetlights,1
Jkoyeckicjkkfhk,Plastic,1
Garbage near road,Waste/Garbage,1
Dumping garbage in cannal,Waste/Garbage,1
"There is large amount of garage dump plz clear it 
I gave a letter to my colony president and there is no reply.....",Waste/Garbage,1
This water will be a host to mosquitoes and flies that lay eggs on it. It will take a long time to dry as the sun is bleak. Govt should ensure proper drainage systems in all areas.,Water,1
"Water logging areas 
",Water,1
Water logging areas ,Water,1
Animal start eating ,Waste/Garbage,1
"Animal start eating
",Waste/Garbage,1
The road is half flooding and the drinage is over flowing,Water,1
Ulgsjorglrcltgktg,Plastic,1
Jkkyfootgoegk,Waste/Garbage,1
I am not getting my solve ninja points as soon as I do something. I get points only on the next day. ,Air,1
Please do something about it sir ,Water,1
Please do something about it sir ,Water,1
Water logging in roads is difficult to walk and transportation. ,Water,1
"Chennai had always been known as a city with better roads. But, in recent months the condition of roads in many parts has worsened to the level of posing a threat to people's safety.",Potholes,1
"Water is continuously flooding even after the rain in stopped. This is leading to, people falling down.",Water,1
People are depositing their garbage on this vacant land. There are many insects inside the land.,Waste/Garbage,1
Water is the root cause of potholes. Repairing a potholes now will prevent the formation of larger potholes and more substantial asphalt pavement damage.,Potholes,1
Single used plastic can is being used to store and sell curd in a shop near nungambakkam leading to increase in use of plastic.,Plastic,1
Potholes need to be filled,Potholes,1
This hole is formed due to the heavy pour down of rain it is very problematic fast as possible,Potholes,1
"Waste and unhinge near military property 
",Waste/Garbage,1
Please don’t throw waste in water,Waste/Garbage,1
Full of buildings waste,Waste/Garbage,1
There are dangling cables in this area which could be dangerous for pedestrians.,Streetlights,1
"As we no there are some areas without water but
lem as soon as possible.
",Water,1
"Pothole on the footpath? Dangerous hole in the footpath, garbage being dumped in it. Someone tripped and fell over it. ",Potholes,1
Here garbages are full clean it,Waste/Garbage,1
"The garbage dumping in our area is not cleared often and it also dispels a lot of diseases around the area so,we the residents kindly  request you to take a look at it.",Waste/Garbage,1
"Reduce  plastic bottles

",Plastic,1
"Reduce plastic
bottles",Plastic,1
R madhava warrier the day of the day of the day of the day of the day of the day of the year of these day and night 10 to be a bowl and ammu k liye the government has taken a problem with water for cl,Plastic,1
R madhava warrier to Guwahati to Guwahati to demand of the year,Plastic,1
Due to wrong parking there is more traffic urgent times it becomes difficult,Traffic/Parking,1
"Kid ink cartridges are you doing well I think
",Plastic,1
U know if you are,Plastic,1
H the day of the day of,Waste/Garbage,1
TT copy of the day of the day before packing list for short the day of school timeing the day of the day of the day of the day of the day,Plastic,1
"The dustbin are broken and some have holes in it through which the waste falls down . It causes land polution and even the cows eat the waste fallen. When it rains in becomes a mess around that place
",Waste/Garbage,1
Jkugdfkfdbok,Plastic,1
Rhkteyphfjjhh,Waste/Garbage,1
Klhcndbkdbnm,Plastic,1
Mkjgregitgkcb,Waste/Garbage,1
Jxudjfjshfmakutauta,Waste/Garbage,1
Vkljyoekyejt,Waste/Garbage,1
Nohflyyjsjgtu,Waste/Garbage,1
"Residents find it difficult to move in and out the street 
since it gets worsened after the rain. It also spreads germs adding to seasonal viral infections.
",Waste/Garbage,1
"Mosquitoes breed leading to diseases. Unhygienic and cause malaria, dengue . Cows eat the plastic bags thrown.",Waste/Garbage,1
Due to single use plastic we are harming our environment so let us stop using single use plastic please support my campaign,Plastic,1
There is always garbage over following from bin,Waste/Garbage,1
Please take action on it. ,Traffic/Parking,1
"Potholes  dug here and their 

",Potholes,1
Garbage dumping ,Waste/Garbage,1
Some drain holes and manholes are open this may cause some accident,Potholes,1
Lot of garbage dump where its a main road  and people can't walk ,Waste/Garbage,1
"I need to be a good time
",Plastic,1
S hand and not the intended addressee s hand and not the intended addressee,Waste/Garbage,1
"Dude s me know what you all the best regards the happy hour to get a bowl and mix eyegsbs
",Waste/Garbage,1
Ye hai rang rang and ammu k liye to bahut galat baat to Guwahati to Guwahati to demand of the day before yesterday and I am a problem with water and ammu ke baad hi there I'm the day before yesterday ,Plastic,1
Haus the government has taken a bowl of water and ammu ke baad mall and ammu k liye to bahut galat baat to ye to Guwahati Assam India Today group photo of my friend of mine the day before packing list,Waste/Garbage,1
Garbage being dumped from last 2-3 years.,Waste/Garbage,1
littering of garbage in road.,Waste/Garbage,1
"Garbage is split over there please clear it
",Waste/Garbage,1
It should be cleared because for people to use only the road has been put. ,Traffic/Parking,1
Garbage dumping,Waste/Garbage,1
Garbage dumping,Waste/Garbage,1
Garbage dumping,Waste/Garbage,1
"A lot of garbage is thrown in an around this area.It reeks of bad smell and is a breeding ground for mosquitoes.
",Waste/Garbage,1
Garbage is first being put in non recyclable plastic bags and then being thrown which is leading to an increase in the number of people.,Plastic,1
Potholes,Potholes,1
"People coming to buy things just park their vehicles in the footpath which makes difficult for pedestrians to walk
",Traffic/Parking,1
"Garbage thrown all over the place causing an intolerable stench.
There have been several attempts to clean it but it hasn't been cleared completely.",Waste/Garbage,1
" people always take the wrong side of the road. Big issue when it's filled with traffic. The place is from 5 furlong road to vandikaaran st. Parking on wrong side, driving on wrong side",Traffic/Parking,1
"In nallathambi ""MAIN ROAD"" where thousands of people commute every day.. One can only imagine being in this place in a rainy day with cow dung and water and garbage blocks all over the road.. ",Waste/Garbage,1
"Collection and of garbage that has Been  dumped
",Waste/Garbage,1
Have to clear dump,Waste/Garbage,1
Have to repair this man hole,Potholes,1
There is lot of bricked in this place which is creating traffic in this area,Waste/Garbage,1
We collect RO reject water and reuse it. We save minimum 24-36 litres in a day.,Water,1
Wasting of water by watering the school grounds in a very inefficient manner. Just leave pipes to wet the ground and leads to over watering and wastage of lot of water.,Water,1
Open manholes that are a danger to pedestrians ,Potholes,1
"Constant dumping ground for large amounts of garbage.
Very pungent odour comes from this area.
Not safe for the residents or the workers.

",Waste/Garbage,1
"Open sewage 
",Sewage,1
GARBAGE DUMP,Waste/Garbage,1
Large open drain that collects garbage and fills up with sewage  water when it rains. The garbage accumulated is also often burnt causing a lot of pollution nearby.,Waste/Garbage,1
It's a public place where people dump waste,Waste/Garbage,1
Walk more than using vehicles that leave dangerous gases ,Air,1
There is a large sewer filled with garbage that hasn't been cleaned in ages. The sewer runs along the entire side of the road and it's just as wide as the road itself. ,Waste/Garbage,1
Garbage strewn resulting in bad smell and breeding ground for mosquitoes. ,Waste/Garbage,1
Garbage is strewn causing bad smell,Waste/Garbage,1
lots of water had been wasted ,Water,1
Wet waste dumped over here with some dry waste ,Waste/Garbage,1
Puja Flower sellers,Plastic,1
"Few years ago, worked with volunteers of the Ugly Indian organisation to clear a large vacant area for lake revival. Removed debris, painted fence, and street llights.",Waste/Garbage,1
Garbage is being dumped in a vacant land near residential areas. Street vendors sell food items and vegetables and continue to dump their waste there. No action has been taken ,Waste/Garbage,1
"In p.p nagar 4 st street the pump was not giving water this pump is not giving water in 3to 2 years not come we request please repair the pump please solve ninja please find the not working point .

",Water,1
In p.p.nagar 4st street the pump  started leakaging please repair the leaking problem please solve ninja ,Water,1
Garbage is being dumped by nearby residents in an empty spot.,Waste/Garbage,1
Garbage on vacant land,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Road damage,Waste/Garbage,1
Due to plastic dumps it will stocked up. ,Sewage,1
The wire can shock anyone,Streetlights,1
"Water is clogging here. Please fix it
",Water,1
since 1year all people near are dumping garbage ,Waste/Garbage,1
this street light is always on .it can’t be switched off,Streetlights,1
Potholes on the service road in front of passport office on devarabeesenahalli,Potholes,1
"Dumping garbage
",Waste/Garbage,1
Dirty stagnant water and garbage ,Waste/Garbage,1
On the road from the Arch from the outer ring road,Potholes,1
The street lights are not offed even till the afternoon,Streetlights,1
Open sewer in devarabeesenahalli near the Arch. ,Sewage,1
Garbage dumping,Waste/Garbage,1
My problem does not include plastic but instead paper. The bills that shops give are wasting paper and also leading to an in the number of garbage. Instead they could be sent online on the phones.,Plastic,1
"For stationary purposes , camlin (scale) and classmate(erasers) are using non recyclable plastics for packing which is leading to increased plastics.",Plastic,1
Please do something about it sir ,Waste/Garbage,1
Please do something about it sir ,Waste/Garbage,1
There is no cleaning of garbage . So I want to request please take garbage and clean the garbage. It is very smelling . The garbages were not in the garbage box it is in outside of the box.,Waste/Garbage,1
Very dangerous construction going on since long. All debris is scattered in and around the area. Poses a great threat to pedestrians.,Potholes,1
"Garbage dump next to the ""Let's be the change wall""",Waste/Garbage,1
Throwing in the barren land ,Waste/Garbage,1
Stagnent  water leading to mosquito breeding,Waste/Garbage,1
Damage of roads,Water,1
Repair manhole,Potholes,1
"There is a dump of garbage beside my house
",Waste/Garbage,1
Potholes left open,Potholes,1
Pothole left open ,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Been happening for a really long time. And no one seems to take permanent action for this. ,Waste/Garbage,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
"Garbage disposal that covers half the road
",Waste/Garbage,1
Pothole left open,Potholes,1
Garbage dump not cleared,Waste/Garbage,1
Sewer left open,Sewage,1
Pothole left open,Potholes,1
Sewer line left open,Sewage,1
Pothole left open,Potholes,1
"Sewer line left open
",Sewage,1
Sewer left open,Sewage,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
The pedestrian walking near gopalan grandeur apartments is crowded with petty shops and smoking stalls due to which people have to walk on the road. ,Traffic/Parking,1
The wire and cables running outside gopalan grandeur is very dangerous is causing lots of difficulty while walking in the pedestrian side walk. It is also a bus stop where many people wait,Streetlights,1
"The potholes on the road has caused many issues for the people living by, espically us. Even though the authorities have been informed no action has been taken",Potholes,1
"I've seen small holes, Potholes and many other holes but this is gone to another level. I would proudly blame the nearby PG owner for this and the truck has stoped thier and caused this huge hole!",Waste/Garbage,1
Water and place problem ,Waste/Garbage,1
Garbage disposal. Mosquito attack. ,Waste/Garbage,1
Cattle menace.,Waste/Garbage,1
Garbage disposal,Waste/Garbage,1
Massive dumping ground near diamond district ,Waste/Garbage,1
The road is is filled with wet sand and cement which makes it slippery to drive. The vehicles driving on this road are more prone to accidents/falling off.,Water,1
"A lot of garbage near the apartment
Everyday create a annoying smell",Waste/Garbage,1
Garbage and waste is left out in the open because of which the menace of stray dogs and mosquitos are ever increasing. ,Waste/Garbage,1
Happening in a highway. They're burning the garbage after  dumping it there. ,Waste/Garbage,1
Fgdojydkdlepu,Waste/Garbage,1
They are throwing waste in flats.,Waste/Garbage,1
"Garbage  dumping in vacant lot/land 

",Waste/Garbage,1
"It can kill anybody.
",Streetlights,1
People around are suffering by not cleaning the roadside garbage.. And near by there is a temple too.. so the visitors are not able to go through the path as it gives a bad smell.. ,Waste/Garbage,1
"The plastic garbage being disposed on the banks of the service Road is massive. It is not exclusive to just one spot, but it is poses as a problem to the whole stretch of the road. ",Waste/Garbage,1
Large amount of plastic waste being dumped. ,Waste/Garbage,1
"Garbage is there for many days but nobody came to pick it
",Waste/Garbage,1
all people started to put garbages in the dump,Waste/Garbage,1
they are parking their vehicles on road ,Traffic/Parking,1
Plastic under the bridge ,Waste/Garbage,1
"It poses as a huge problem during rainfall as the water overflows over the poorly maintained roads. Furthermore , there aren’t any footpaths present for people to walk as a result. ",Sewage,1
Maintenance /repair of  streetlights ,Streetlights,1
People should stop dumping their water waste on the roads around them just to get rid of it . Not only does it flood the roads but it also makes it hard for people to travel around in that area .,Water,1
This causes accidents and minor issues,Potholes,1
Liquor cup thrown in vacant land ,Waste/Garbage,1
Garbage dumped from many days,Waste/Garbage,1
Over flows during heavy rainfall ,Sewage,1
Garbage dumped from long time,Waste/Garbage,1
"Eat healthy food.
",Waste/Garbage,1
A lot of people throw garbage and other kinds of waste here . And some times the authorities don't Come then we are not able to walk on these roads .,Waste/Garbage,1
Garbage are not clean regularly.  In way it is flow out of the bin and even the animal may eat some plastic things in garbage and get affected easily.  So I request you help the issue ,Waste/Garbage,1
Road gets fixed and gets spoiler within a month,Potholes,1
"Because of this bad odour is producing  people will get effected
",Waste/Garbage,1
Garbage dump,Waste/Garbage,1
"Leackage of sewage
",Sewage,1
Streetlight  is not working from past 2 week,Streetlights,1
It’s not being cleared and causing health hazards.very hygienic for people living around the area.,Waste/Garbage,1
"Garbage dumped, unhygienic, foul odour, cows eating plastic in the garbage.
",Waste/Garbage,1
"Wires near the pathway can easily shock a person 
",Streetlights,1
This heap of dirt on the road can easily cause accidents ,Waste/Garbage,1
Pothole left open,Potholes,1
Dump left uncleared,Waste/Garbage,1
Long pothole left open,Potholes,1
Garbage left uncleared,Waste/Garbage,1
Pothole left open,Potholes,1
Pothe left open,Potholes,1
Huge pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Pothole left open,Potholes,1
Our earth is full of plastic because of us .we should have to avoid plastic bags . Otherwise we will suffer from land pollution. So the only way to avoid plastic bags is to avoid plastic .,Waste/Garbage,1
"Plastic  tubes 
",Plastic,1
"Plastic  box
",Plastic,1
"Plastic  jug
",Plastic,1
This garbage dump is not cleared for 1month causing health issues,Waste/Garbage,1
"plastics are through near the roadside ,which can cause diseases.",Waste/Garbage,1
"Many plastics,and if it rains havely water may stay there it self",Waste/Garbage,1
The wast is not dumped in garbage truck but in land which is filled with water next to my house,Waste/Garbage,1
